,actor,rev_sum,grade_sum,appearances,score,score_epfl,gender,cluster
18258,Alice_Tzeng,10428323.255813954,4.38334889329128,1.0,17.63784907213614,3.614317620933236,F,2
18259,Matthew_McNulty,7656791.011235956,4.804721375373556,3.0,17.420702580251128,3.538389471083427,M,2
18260,Sam_Riley,6720104.166666667,5.5061819895850395,2.0,17.426485672503127,3.540411605962482,M,0
18261,Andrew_Sheridan,9487800.0,5.778876481082815,1.0,17.819726604093926,3.6779135113430925,M,0
18262,Craig_Parkinson,9001833.886808157,4.933187701896293,3.0,17.608924251524442,3.604203673916552,M,1
18263,Harry_Treadaway,10686314.340407824,5.240763441695836,3.0,17.840941629864357,3.6853316263758598,M,0
18264,Joe_Anderson,39385438.022088215,5.276359033535691,8.0,19.15214299547242,4.143810567973875,M,1
18265,Chris_O'Neil,31741220.93023256,4.184367322428618,1.0,18.704482254010266,3.987280054565379,M,2
18266,Rhiannon_Leigh_Wryn,31741220.93023256,4.184367322428618,1.0,18.704482254010266,3.987280054565379,F,2
18267,Kirsten_Williamson,31741220.93023256,4.184367322428618,1.0,18.704482254010266,3.987280054565379,F,2
18268,Mia_Wasikowska,134782714.15492335,5.136118945526078,10.0,20.35547224024294,4.5645705923355635,F,1
18269,Emma_Heming,50366142.44186047,3.531222777863537,2.0,18.996473937310444,4.089378817902775,F,2
18270,Brooke_Nevin,15743202.325581396,2.7228145422592895,1.0,17.57358533519299,3.59184695329237,F,2
18271,Frank_Caliendo,15743202.325581396,2.7228145422592895,1.0,17.57358533519299,3.59184695329237,M,2
18272,Andrew-Lee_Potts,153486327.90697676,5.672946617663936,1.0,20.584830720419575,4.644768825799991,M,0
18273,Jasmine_Jessica_Anthony,153486327.90697676,5.672946617663936,1.0,20.584830720419575,4.644768825799991,F,0
18274,Joey_King,386152863.0338834,5.941477560441375,7.0,21.553701717248146,4.983547415284589,F,1
18275,Serge_Houde,36431840.42553192,5.14292672698908,2.0,19.048576006769853,4.107596997266659,M,0
18276,Alex_Ferris,87922105.84794417,4.949356971560387,4.0,19.89121948304447,4.40223846064532,M,1
18277,Margarita_Levieva,38605267.2125269,5.297782197309074,4.0,19.136187561052964,4.138231538789462,F,1
18278,Amber_Borycki,31174550.0,4.664322313705304,1.0,18.7950551681556,4.018950074826182,F,0
18279,Tommy_Chang,13132166.279069768,5.869791768730444,1.0,18.160394379051795,3.7970325154838505,M,0
18280,Norbert_Leo_Butz,53045185.669562995,5.24889345934792,2.0,19.44467195283727,4.246097196311247,M,0
18281,Margo_Harshman,13710621.57542897,3.0573798013493,4.0,17.551239662970467,3.5840334927373405,F,2
18282,Outi_Mäenpää,1857112.7906976745,3.8864313467049247,1.0,15.7920249215917,2.968900734469564,F,2
18283,Martti_Suosalo,1857112.7906976745,3.8864313467049247,1.0,15.7920249215917,2.968900734469564,M,2
18284,Ville_Virtanen,1857112.7906976745,3.8864313467049247,1.0,15.7920249215917,2.968900734469564,M,2
18285,Paul_Sun_Hyung,8819067.441860465,5.048825536460574,1.0,17.611582339379414,3.605133109576388,M,0
18286,Todd_Holoubek,913404.6511627908,4.312345400047012,1.0,15.186416204312803,2.757141617217731,M,2
18287,Jason_Sudeikis,82599745.79915966,4.696507782563075,11.0,19.776336368544012,4.362068056521902,M,1
18288,Ed_Sanders,177352516.27906978,6.851434788460296,1.0,20.91810801580362,4.761303650773627,M,0
18289,Laura_Michelle_Kelly,177352516.27906978,6.851434788460296,1.0,20.91810801580362,4.761303650773627,F,0
18290,Jamie_Campbell_Bower,403717852.1499392,4.70048045025283,7.0,21.363891533122604,4.917177767871931,M,1
18291,Jayne_Wisener,73096926.71490549,5.01326559645373,3.0,19.719384400049094,4.342154045659532,F,0
18292,Matt_Bushell,160764969.86218777,5.106734003711044,3.0,20.526014103523522,4.624202815902365,M,0
18293,Ross_Thomas,21463877.30111606,4.149330863830849,3.0,18.304829038185918,3.847536008987439,M,2
18294,Trevor_Wright,123665536.00817786,5.817849726157203,2.0,20.39402191968633,4.578049998850635,M,0
18295,Albert_Reed,165890.6976744186,4.902900396169508,1.0,13.608911350310374,2.2055461302092496,M,2
18296,Robbi_Chong,165890.6976744186,4.902900396169508,1.0,13.608911350310374,2.2055461302092496,F,2
18297,Jessica_Ashworth,43385665.11627907,5.223834188090761,1.0,19.238871298709658,4.1741362690582084,F,0
18298,Tom_Vaughan-Lawlor,43385665.11627907,5.223834188090761,1.0,19.238871298709658,4.1741362690582084,M,0
