,actor,rev_sum,grade_sum,appearances,score,score_epfl
1822,Marcel_Dalio,137246212.12121212,18.08571263555243,4.0,21.632409308998398,3.987685546073515
1823,Marina_Koshetz,22727272.727272727,2.9741093043216256,1.0,18.029020803693225,3.049182063187184
1824,Ann_Codee,63636363.63636363,5.735550518588083,2.0,19.71537935896272,3.4883945919460135
1825,Gwen_Verdon,628334037.6260786,41.473636822763766,10.0,23.98364045816041,4.600064316586494
1826,Jeff_Corey,1900524841.8218136,60.92181917408912,14.0,25.47498730678145,4.9884859951154
1827,Luther_Adler,140786266.2679426,11.552685739833294,3.0,21.209671397744,3.877583346025912
1828,Ben_Hogan,10454545.454545457,2.861731282448502,1.0,17.2139741987279,2.836902960795516
1829,June_Havoc,10454545.454545457,2.861731282448502,1.0,17.2139741987279,2.836902960795516
1830,Barry_Kelley,101931818.18181819,20.045925987486388,5.0,21.437840639000996,3.937010084855753
1831,Michael_St._Angel,23636363.63636364,3.6388829230160953,1.0,18.269973661448635,3.1119382982925394
1832,Janis_Carter,33409090.909090914,7.10529531280121,2.0,19.2851789285859,3.3763487768324274
1833,Carleton_Young,438790909.09090906,16.980752585734283,4.0,22.731614070284497,4.273973714932753
1834,James_Bell,154696969.69696972,14.455344157425518,4.0,21.528042911165947,3.96050329033899
1835,James_Dobson,23636363.63636364,3.6388829230160953,1.0,18.269973661448635,3.1119382982925394
1836,Adam_Williams,187257575.75757575,16.33934950999831,4.0,21.84157191649739,4.042162002147675
1837,Maurice_Jara,23636363.63636364,3.6388829230160953,1.0,18.269973661448635,3.1119382982925394
1838,Allene_Roberts,9772727.272727272,3.4664123897851145,1.0,17.338226298422214,2.8692644528043205
1839,Billy_House,9772727.272727272,3.4664123897851145,1.0,17.338226298422214,2.8692644528043205
1840,Janice_Rule,100190976.47907647,11.551599767469158,4.0,20.86941262284324,3.7889628587104713
1841,Ron_Hagerthy,50454545.45454545,5.168187235411814,2.0,19.379105394498705,3.4008119495557096
